ID,month,B1_mean,B1_std,B1_min,B1_max,B1_median,B2_mean,B2_std,B2_min,B2_max,B2_median,B3_mean,B3_std,B3_min,B3_max,B3_median,B4_mean,B4_std,B4_min,B4_max,B4_median,B5_mean,B5_std,B5_min,B5_max,B5_median,B6_mean,B6_std,B6_min,B6_max,B6_median,B7_mean,B7_std,B7_min,B7_max,B7_median,B8_mean,B8_std,B8_min,B8_max,B8_median,B8A_mean,B8A_std,B8A_min,B8A_max,B8A_median,B9_mean,B9_std,B9_min,B9_max,B9_median,B11_mean,B11_std,B11_min,B11_max,B11_median,B12_mean,B12_std,B12_min,B12_max,B12_median,Crop,class
ID_a1NeRW_Feb,Feb,2491.6333,21.814182,2450.0,2556.0,2486.0,2240.2026,52.906612,2141.0,2566.0,2221.0,2146.7363,69.89127,1966.0,2590.0,2129.0,2057.9724,172.76422,1781.0,2762.0,1988.0,2294.3818,142.70723,1890.0,2696.0,2264.0,3093.707,187.5646,2328.0,3368.0,3134.0,3548.5667,253.163,2529.0,3989.0,3598.0,3433.6785,256.57605,2352.0,4173.0,3475.0,3983.7183,315.31866,2674.0,4451.0,4055.0,1389.3956,30.86368,1249.0,1413.0,1400.0,3215.8115,454.4185,1948.0,4466.0,3123.0,2118.61,329.98422,1430.0,3220.0,2021.0,Cocoa,1
ID_yAdx5k_Feb,Feb,2498.2595,24.765318,2462.0,2561.0,2489.0,2241.6248,49.769035,2173.0,2520.0,2219.0,2159.6235,57.729694,2068.0,2520.0,2135.0,2035.9708,160.03156,1845.0,2608.0,1962.0,2291.4026,117.22391,2137.0,2639.0,2235.0,3193.2356,90.76483,2839.0,3410.0,3201.0,3658.8794,120.98136,3208.0,3951.0,3674.0,3562.436,127.95561,3001.0,4018.0,3579.0,4127.5947,133.15286,3630.0,4439.0,4149.0,1398.008,9.300048,1376.0,1417.0,1399.0,3338.214,355.20468,2854.0,4250.0,3180.0,2170.8428,287.52368,1799.0,3012.0,2039.0,Cocoa,1
ID_fMbLom_Feb,Feb,2521.364,132.04465,2450.0,3399.0,2481.0,2320.8435,250.45427,2160.0,3590.0,2228.0,2238.0774,253.74263,2030.0,3611.0,2146.0,2066.016,307.00037,1811.0,3636.0,1944.0,2323.527,264.28748,2086.0,3957.0,2230.0,3283.0764,227.18176,2827.0,4831.0,3248.0,3750.937,233.3127,3215.0,5367.0,3730.0,3681.5686,265.4451,3015.0,4867.0,3640.0,4195.9175,222.34203,3625.0,5472.0,4183.0,1410.3014,36.25157,1388.0,1669.0,1402.0,3219.4944,365.1929,2760.0,5139.0,3099.0,2063.2065,275.95636,1697.0,4198.0,1974.0,Cocoa,1
ID_TkLg1T_Feb,Feb,2498.5132,27.522064,2456.0,2600.0,2497.0,2240.6401,42.388443,2160.0,2472.0,2233.0,2155.797,49.52385,2050.0,2433.0,2147.0,1966.1304,93.592705,1821.0,2558.0,1936.0,2271.1711,72.0531,2108.0,2534.0,2259.0,3195.414,100.53914,2850.0,3581.0,3199.0,3670.7532,131.75739,3199.0,4269.0,3674.0,3552.3057,139.12227,2945.0,4443.0,3556.0,4123.2876,145.81201,3519.0,4605.0,4137.0,1402.4725,11.729069,1372.0,1435.0,1402.0,3121.4602,191.1185,2604.0,3807.0,3094.0,1999.9808,147.37057,1701.0,2657.0,1961.0,Cocoa,1
ID_eA9M6W_Feb,Feb,2433.7617,13.507401,2414.0,2471.0,2431.0,2178.3252,40.522007,2116.0,2393.0,2164.0,2093.1946,52.295067,1984.0,2402.0,2078.0,1962.789,142.2539,1791.0,2581.0,1901.0,2230.952,101.39958,2071.0,2628.0,2197.0,3131.9497,105.09637,2849.0,3442.0,3136.0,3623.8984,140.08876,3243.0,4028.0,3631.0,3514.3594,152.47101,2995.0,4501.0,3518.0,4066.1484,153.07216,3650.0,4536.0,4070.0,1419.0385,10.03535,1393.0,1443.0,1418.0,3178.6294,310.3521,2674.0,4150.0,3082.0,2051.741,232.21152,1747.0,2782.0,1978.0,Cocoa,1
ID_DDILgn_Feb,Feb,2518.8206,37.173817,2477.0,2619.0,2505.0,2275.5366,59.091267,2194.0,2489.0,2251.0,2198.5364,65.18766,2071.0,2451.0,2174.0,2102.7112,181.9644,1891.0,2706.0,2020.0,2346.1572,126.438065,2175.0,2754.0,2303.0,3213.2808,123.82265,2901.0,3526.0,3233.0,3690.757,182.47473,3260.0,4090.0,3719.0,3552.5457,181.05005,2964.0,4153.0,3573.0,4127.777,200.32806,3640.0,4604.0,4163.0,1395.394,13.316008,1366.0,1418.0,1398.0,3293.8774,436.87357,2764.0,4678.0,3135.0,2176.5337,362.54782,1775.0,3380.0,2027.0,Cocoa,1
ID_bZkSPP_Feb,Feb,2464.4756,16.802933,2423.0,2522.0,2459.0,2198.8086,37.601826,2128.0,2351.0,2186.0,2118.8804,45.822174,1988.0,2304.0,2107.0,1937.985,143.52054,1739.0,2483.0,1876.0,2212.6938,104.6782,2019.0,2608.0,2184.0,3261.291,101.50895,2962.0,3897.0,3267.0,3755.9336,142.43056,3304.0,4742.0,3763.0,3639.9138,159.57571,2988.0,4550.0,3653.0,4198.8936,157.36316,3681.0,5203.0,4215.0,1407.7394,9.819346,1383.0,1462.0,1407.0,3088.6033,308.16077,2555.0,4308.0,3002.0,1983.9381,253.71434,1633.0,2929.0,1885.0,Cocoa,1
ID_Yl0Yby_Feb,Feb,2565.5432,88.59016,2485.0,3588.0,2544.0,2353.4028,156.09938,2211.0,3717.0,2299.0,2293.2527,167.24448,2098.0,3590.0,2221.0,2272.481,325.09244,1914.0,3670.0,2124.0,2506.8027,270.75043,2192.0,3793.0,2383.0,3350.7625,156.5237,2978.0,4497.0,3348.0,3839.6775,178.66106,3373.0,4959.0,3855.0,3726.6975,199.72125,3105.0,4936.0,3728.0,4329.1816,193.28922,3834.0,5471.0,4333.0,1422.6113,22.940323,1392.0,1705.0,1420.0,3763.1223,716.5764,2771.0,5216.0,3455.0,2491.893,562.42004,1757.0,3580.0,2247.0,Cocoa,1
ID_wlbg9w_Feb,Feb,2437.7463,15.707534,2415.0,2481.0,2433.0,2181.101,36.217026,2119.0,2334.0,2170.0,2089.8228,50.318382,1983.0,2308.0,2074.0,1993.0133,141.84644,1783.0,2510.0,1956.0,2238.8655,106.59689,2071.0,2630.0,2205.0,3073.9294,131.38246,2777.0,3424.0,3096.0,3543.4463,173.62006,3145.0,4095.0,3567.5,3444.5095,174.56236,2991.0,4360.0,3460.0,3980.2039,177.32448,3588.0,4570.0,4000.0,1415.6058,9.471504,1395.0,1435.0,1415.0,3311.8745,340.46286,2740.0,4267.0,3260.0,2140.5076,254.99278,1727.0,2960.0,2097.0,Cocoa,1
ID_KVuKdv_Feb,Feb,2519.0708,59.175495,2474.0,2750.0,2496.0,2265.705,71.926315,2186.0,2634.0,2237.0,2175.1438,83.04936,2044.0,2587.0,2145.0,2065.1438,184.38383,1881.0,2684.0,1975.0,2310.7808,139.88345,2060.0,2817.0,2252.0,3137.9263,138.30385,2625.0,3454.0,3162.0,3603.1785,189.3221,2930.0,3972.0,3638.0,3467.2336,195.25964,2755.0,3906.0,3509.0,4031.5945,216.78374,3171.0,4420.0,4083.0,1401.173,21.363194,1332.0,1462.0,1405.0,3244.609,425.37833,2362.0,4418.0,3056.0,2137.7017,349.78824,1617.0,3216.0,1965.0,Cocoa,1
ID_bezhHW_Feb,Feb,2691.1685,373.84552,2448.0,4486.0,2537.0,2450.2937,476.13943,2147.0,4755.0,2262.0,2336.3196,498.48834,1976.0,4752.0,2155.0,2233.645,592.5403,1785.0,5108.0,2002.0,2415.3694,565.49304,1911.0,5099.0,2250.0,3106.8054,584.0906,2367.0,5628.0,3072.0,3495.8125,635.2382,2593.0,6067.0,3500.0,3347.822,620.2194,2443.0,5803.0,3374.0,3846.5557,698.81396,2767.0,6418.0,3932.0,1407.2887,125.30094,1258.0,1975.0,1394.0,3094.3584,799.2687,1978.0,6191.0,3051.0,2138.018,608.86163,1472.0,4995.0,2012.0,Cocoa,1
ID_6O7ABf_Feb,Feb,2455.4585,44.020912,2424.0,3070.0,2448.0,2191.0393,39.63888,2118.0,2555.0,2181.0,2096.936,52.039104,1974.0,2610.0,2084.0,1970.7114,117.36611,1783.0,2703.0,1935.0,2223.571,87.73741,2059.0,2605.0,2199.0,3056.3235,103.10006,2729.0,3544.0,3047.5,3519.431,133.90192,3190.0,4322.0,3513.0,3417.5576,147.64752,2857.0,4678.0,3405.0,3956.4055,137.65921,3509.0,4802.0,3944.0,1416.191,15.193936,1393.0,1615.0,1414.0,3188.412,267.74973,2723.0,3991.0,3137.0,2071.4875,199.8332,1749.0,2813.0,2026.0,Cocoa,1
ID_SGEvyY_Feb,Feb,2467.7673,17.467785,2436.0,2523.0,2461.5,2206.0479,36.43209,2151.0,2381.0,2194.0,2118.316,45.838993,1990.0,2356.0,2108.0,1930.2108,121.45141,1780.0,2520.0,1874.0,2210.8262,91.84452,1964.0,2533.0,2186.0,3228.0334,142.09785,2524.0,3535.0,3260.0,3736.0535,191.50034,2823.0,4164.0,3782.0,3602.1428,186.28555,2630.0,4127.0,3641.0,4178.188,223.982,3068.0,4582.0,4237.0,1405.2968,24.581945,1276.0,1426.0,1414.0,3050.46,306.0899,2256.0,4135.0,2957.0,1964.1715,231.66771,1540.0,2888.0,1864.5,Cocoa,1
ID_bk4iCk_Feb,Feb,2521.1465,37.081512,2481.0,2619.0,2505.0,2278.9753,60.894226,2200.0,2503.0,2253.0,2201.6677,68.38768,2071.0,2478.0,2175.0,2112.87,186.66011,1891.0,2804.0,2025.0,2352.6868,132.303,2128.0,2929.0,2304.0,3205.1492,123.32214,2686.0,3526.0,3223.0,3677.1338,179.64188,3000.0,4090.0,3709.0,3537.8333,179.8549,2836.0,4153.0,3555.0,4110.9243,200.20973,3287.0,4604.0,4146.0,1392.0911,15.3167925,1320.0,1418.0,1393.0,3295.703,458.69458,2483.0,4852.0,3124.0,2185.523,379.19736,1682.0,3485.0,2023.0,Cocoa,1
ID_OKl8qy_Feb,Feb,2473.212,16.460224,2451.0,2546.0,2468.0,2219.4448,35.57897,2143.0,2385.0,2209.0,2128.0408,46.32055,1994.0,2351.0,2116.0,1993.3284,123.00061,1777.0,2473.0,1951.0,2231.9045,91.71926,2016.0,2588.0,2205.0,3096.8047,111.832245,2692.0,3473.0,3107.0,3549.2756,155.95569,3019.0,4258.0,3563.0,3461.451,165.85493,2888.0,4282.0,3467.0,3996.2588,165.30304,3404.0,4575.0,4009.0,1388.0785,9.357482,1355.0,1417.0,1390.0,3239.4272,295.56265,2566.0,4215.0,3172.0,2105.1611,229.13594,1709.0,2919.0,2052.0,Cocoa,1
ID_weWVcL_Feb,Feb,2478.6763,23.283531,2453.0,2548.0,2470.0,2222.2546,45.79972,2146.0,2415.0,2203.0,2129.8474,54.969383,2014.0,2414.0,2109.0,2004.4268,147.94138,1816.0,2512.0,1933.0,2261.6094,108.47764,2116.0,2584.0,2213.0,3119.4983,112.01095,2761.0,3379.0,3140.0,3590.7039,153.91318,3124.0,4072.0,3609.0,3473.618,159.07605,2913.0,3960.0,3494.0,4037.634,174.38193,3491.0,4517.0,4060.0,1408.2476,11.76527,1375.0,1430.0,1409.0,3241.723,365.15808,2796.0,4201.0,3079.0,2106.5479,277.13364,1778.0,2928.0,1991.0,Cocoa,1
ID_tat5n7_Feb,Feb,2488.8374,36.033764,2443.0,2592.0,2477.0,2225.626,62.545685,2146.0,2524.0,2202.0,2121.9873,80.47795,1976.0,2446.0,2113.0,1969.0334,166.4963,1798.0,2579.0,1899.0,2206.515,154.17607,1959.0,2705.0,2212.0,3162.203,422.216,2573.0,4063.0,3108.0,3671.1545,581.7781,2885.0,4963.0,3579.0,3507.3933,554.9891,2627.0,4820.0,3443.0,4060.3599,658.8456,3086.0,5484.0,4000.0,1382.8442,60.44489,1286.0,1500.0,1383.0,2924.7405,479.44153,2161.0,4465.0,2986.0,1916.2068,317.46893,1510.0,3156.0,1864.0,Cocoa,1
ID_FzZqAm_Feb,Feb,2654.1284,180.21347,2492.0,3215.0,2569.0,2415.9834,233.38472,2211.0,3390.0,2314.0,2348.2014,256.24527,2098.0,3378.0,2236.0,2292.3691,353.6408,1920.0,3545.0,2152.0,2523.634,308.75244,2175.0,3588.0,2400.0,3393.0447,244.01202,2978.0,4306.0,3332.0,3882.8254,251.02974,3373.0,4739.0,3848.0,3734.1848,236.11383,3105.0,4548.0,3706.0,4345.549,256.10037,3834.0,5167.0,4316.0,1443.5459,48.64238,1396.0,1589.0,1423.0,3591.1926,447.73825,2771.0,4828.0,3461.0,2374.2327,367.36227,1757.0,3396.0,2268.0,Cocoa,1
ID_g0hnyo_Feb,Feb,2499.59,87.77028,2438.0,2942.0,2472.0,2235.1206,136.95486,2129.0,3103.0,2194.0,2109.1438,154.58215,1953.0,3031.0,2072.0,1971.3037,206.36967,1762.0,3094.0,1909.0,2160.107,209.60008,1896.0,3128.0,2133.0,2872.1045,326.53906,2308.0,3854.0,2881.0,3253.891,417.1551,2513.0,4626.0,3239.0,3102.301,427.4253,2375.0,4435.0,3072.0,3567.9465,504.3432,2665.0,5111.0,3570.0,1355.6816,49.809647,1274.0,1491.0,1354.0,2708.283,467.98914,2004.0,4112.0,2686.0,1840.1395,283.7788,1466.0,2825.0,1796.0,Cocoa,1
ID_Pn0IXY_Feb,Feb,2603.8442,242.2927,2470.0,3686.0,2517.0,2356.3364,301.8633,2172.0,3955.0,2255.0,2273.446,323.89984,2017.0,3954.0,2162.0,2173.5583,409.17093,1844.0,4179.0,2023.0,2424.3901,369.91824,2104.0,4225.0,2286.0,3299.0195,326.69238,2902.0,4877.0,3223.0,3785.354,339.44403,3255.0,5357.0,3705.0,3643.1506,323.52747,2984.0,5131.0,3585.0,4236.893,349.63763,3654.0,5810.0,4157.0,1437.6621,74.323044,1382.0,1771.0,1414.0,3414.6904,534.6652,2776.0,5643.0,3254.0,2243.8467,432.54596,1755.0,4179.0,2116.0,Cocoa,1
ID_agWh0k_Feb,Feb,2492.1646,19.354753,2471.0,2627.0,2489.0,2232.5356,32.729813,2159.0,2456.0,2223.0,2145.3674,40.25723,2010.0,2404.0,2137.0,2020.5618,112.76203,1825.0,2677.0,1987.0,2289.8823,78.80386,2102.0,2600.0,2272.0,3202.8923,103.54864,2885.0,3690.0,3197.0,3695.4426,140.00908,3287.0,4347.0,3685.0,3564.7356,162.5542,2867.0,4499.0,3559.0,4148.8267,149.50761,3710.0,4772.0,4142.0,1411.5033,8.381848,1391.0,1458.0,1411.0,3290.6997,243.33936,2776.0,4228.0,3234.0,2127.1948,186.98071,1781.0,2830.0,2086.0,Cocoa,1
ID_J3kuH4_Feb,Feb,2471.5132,25.246784,2444.0,3020.0,2466.0,2218.895,70.44437,2158.0,3145.0,2207.0,2130.8079,52.522858,2026.0,2917.0,2122.0,1938.2568,88.8996,1805.0,2832.0,1913.0,2213.0803,63.80588,2088.0,3034.0,2202.0,3183.3965,99.64607,2917.0,3777.0,3185.0,3660.3037,128.99011,3292.0,4189.0,3661.0,3565.9905,137.31474,3170.0,4312.0,3572.0,4114.5547,130.67397,3772.0,4605.0,4119.0,1399.0973,8.306054,1375.0,1555.0,1398.0,3085.913,173.35976,2745.0,4138.0,3046.0,1976.8578,135.68082,1760.0,2801.0,1943.0,Cocoa,1
ID_Ccjmrj_Feb,Feb,2516.7673,34.076267,2472.0,2769.0,2508.0,2264.315,52.146156,2173.0,2500.0,2249.0,2171.1116,65.66645,2022.0,2463.0,2153.0,2081.5598,151.89105,1849.0,2684.0,2035.0,2328.178,119.31248,2139.0,2817.0,2289.0,3157.1145,122.72315,2736.0,3663.0,3167.0,3639.5447,159.62914,3090.0,4399.0,3647.0,3524.0923,171.54391,2878.0,4485.0,3534.0,4108.076,172.69844,3468.0,4907.0,4129.0,1406.0739,12.551498,1371.0,1475.0,1406.0,3369.4688,313.43774,2860.0,4490.0,3298.0,2185.6875,241.47742,1818.0,3059.0,2124.0,Cocoa,1
ID_wFjgXT_Feb,Feb,2514.0588,39.552498,2475.0,2616.0,2497.0,2270.4363,74.02218,2182.0,2536.0,2240.5,2195.5437,97.30069,2046.0,2579.0,2155.0,2130.868,234.30768,1879.0,2997.0,2031.5,2381.5825,193.4238,2136.0,3035.0,2301.0,3230.5261,90.2874,2971.0,3642.0,3228.0,3723.118,115.68925,3421.0,4233.0,3721.0,3593.1636,137.39102,3069.0,4308.0,3592.0,4190.984,131.93636,3800.0,4685.0,4188.0,1404.8967,10.101889,1390.0,1439.0,1403.0,3449.333,592.23975,2740.0,5188.0,3231.0,2262.043,461.94687,1789.0,3661.0,2074.0,Cocoa,1
ID_bhwEyZ_Feb,Feb,2550.233,69.326324,2473.0,2942.0,2524.0,2303.0676,100.778854,2168.0,2818.0,2270.0,2217.6675,123.249245,2023.0,2814.0,2179.0,2170.5212,225.97488,1830.0,2953.0,2102.0,2391.7861,203.55995,1975.0,3097.0,2341.0,3166.5679,190.13045,2541.0,3764.0,3164.0,3630.293,228.32414,2839.0,4252.0,3641.0,3499.5525,235.63168,2628.0,4242.0,3517.0,4071.2622,276.71735,3022.0,4737.0,4096.0,1395.6367,33.3754,1280.0,1528.0,1395.0,3410.7954,475.2626,2115.0,4697.0,3375.0,2238.8125,330.59042,1503.0,3259.0,2196.0,Cocoa,1
ID_v26x83_Feb,Feb,2473.07,38.633556,2432.0,2601.0,2460.0,2228.3477,72.70362,2121.0,2575.0,2202.0,2145.3425,85.4948,1988.0,2505.0,2118.0,2043.7251,192.06468,1798.0,2671.0,1969.0,2297.0554,147.43648,2066.0,2798.0,2257.0,3143.4944,149.2162,2487.0,3609.0,3171.0,3609.7158,204.2616,2742.0,4342.0,3650.0,3497.4136,228.87488,2603.0,4508.0,3530.0,4035.5503,227.71864,2937.0,4765.0,4085.0,1412.7235,17.274769,1318.0,1442.0,1417.0,3244.9473,430.85052,2568.0,4559.0,3110.0,2128.5583,349.16312,1717.0,3206.0,1999.0,Cocoa,1
ID_zzXzSQ_Feb,Feb,2468.178,12.7547865,2447.0,2531.0,2467.0,2214.0032,28.234177,2154.0,2418.0,2208.0,2115.3257,35.94996,2011.0,2351.0,2107.0,1972.3068,92.862816,1808.0,2473.0,1950.0,2217.042,68.16014,1986.0,2492.0,2202.0,3083.9172,96.50754,2541.0,3365.0,3089.0,3546.58,132.34662,2859.0,4033.0,3552.0,3448.192,145.01419,2559.0,4035.0,3449.0,3987.1853,140.48082,3030.0,4451.0,3998.0,1384.476,6.3671093,1367.0,1400.0,1385.0,3148.1658,227.15181,2265.0,4012.0,3109.0,2041.0111,176.409,1595.0,2783.0,2004.0,Cocoa,1
ID_GO1Dsg_Feb,Feb,2831.4597,427.28223,2491.0,4416.0,2642.0,2615.3457,523.6328,2195.0,4541.0,2368.0,2547.028,549.2053,2057.0,4548.0,2299.0,2510.1226,647.86835,1893.0,4869.0,2278.0,2735.97,592.6063,2135.0,4972.0,2508.0,3575.2075,528.41473,2960.0,5537.0,3375.0,4067.05,522.6921,3381.0,5960.0,3909.0,3903.4941,490.15958,3001.0,5566.0,3767.0,4521.6685,516.3405,3814.0,6323.0,4364.0,1502.7543,123.014114,1392.0,1942.0,1440.0,3788.7532,681.915,2622.0,6066.0,3581.0,2549.7793,594.2417,1702.0,4756.0,2371.0,Cocoa,1
ID_7NhrAD_Feb,Feb,2475.723,16.660265,2455.0,2541.0,2470.0,2221.7097,36.684425,2158.0,2604.0,2212.0,2132.662,45.302376,2021.0,2599.0,2124.0,1983.7378,108.58929,1839.0,2841.0,1947.0,2235.544,75.50909,2124.0,2718.0,2216.0,3113.2664,92.089424,2787.0,3463.0,3120.0,3569.9146,118.97471,3147.0,3987.0,3577.0,3476.1577,132.8339,2879.0,4206.0,3487.0,4017.2722,130.16621,3545.0,4457.0,4031.0,1390.621,8.681033,1359.0,1407.0,1392.0,3214.7751,225.84604,2793.0,4094.0,3148.0,2074.42,185.32489,1784.0,3090.0,2018.0,Cocoa,1
ID_YpCqPY_Feb,Feb,3284.9524,817.4695,2537.0,4960.0,2762.0,3272.1406,1011.3281,2246.0,5407.0,2782.0,3195.9211,1061.4572,2094.0,5560.0,2639.0,3237.8562,1247.2808,1934.0,6106.0,2530.0,3379.222,1154.457,2147.0,6069.0,2735.0,4079.6702,1022.2415,2862.0,6593.0,3447.0,4529.928,1004.1314,3192.0,7054.0,3897.0,4425.607,969.9687,2918.0,6912.0,3935.0,4951.6636,990.7433,3553.0,7438.0,4352.0,1615.3749,244.2755,1370.0,2141.0,1450.0,4470.702,1316.8193,2878.0,7576.0,3795.0,3159.182,1161.9409,1911.0,5808.0,2519.0,Cocoa,1
ID_EQ1RiH_Feb,Feb,2452.6301,19.147419,2410.0,2509.0,2446.0,2190.0122,40.23446,2124.0,2476.0,2177.0,2106.173,51.692375,1974.0,2592.0,2091.0,1922.4352,134.883,1734.0,2865.0,1867.0,2201.3918,102.552376,1970.0,2721.0,2165.0,3239.1304,130.408,2760.0,4034.0,3226.0,3736.745,182.04565,3198.0,4895.0,3714.0,3631.192,183.33344,2846.0,4706.0,3614.0,4198.4297,189.08215,3490.0,5417.0,4179.0,1403.4432,12.248168,1382.0,1490.0,1402.0,3086.2683,293.68512,2626.0,4186.0,2972.0,1971.621,221.29753,1686.0,2836.0,1885.0,Cocoa,1
ID_vA8N6m_Feb,Feb,2493.1123,15.473747,2472.0,2558.0,2491.0,2232.877,33.417316,2159.0,2456.0,2225.0,2144.8516,41.104385,2010.0,2444.0,2138.0,2006.0038,110.47311,1825.0,2677.0,1970.0,2279.5183,77.23329,2102.0,2662.0,2262.0,3221.7236,110.42477,2885.0,3690.0,3211.0,3724.9297,146.37895,3287.0,4347.0,3705.0,3590.9587,169.4835,2867.0,4499.0,3577.0,4178.03,156.25613,3710.0,4772.0,4160.0,1413.3064,7.648838,1397.0,1436.0,1413.0,3241.468,216.0015,2792.0,4194.0,3193.0,2088.2363,169.20168,1814.0,2792.0,2045.0,Cocoa,1
ID_35EDH6_Feb,Feb,2433.4453,14.506337,2416.0,2524.0,2430.0,2169.3584,33.874023,2096.0,2380.0,2162.0,2069.501,48.168262,1953.0,2386.0,2060.0,1937.6809,128.03107,1743.0,2679.0,1904.0,2186.6216,101.12738,2020.0,2850.0,2164.0,3055.0996,123.551445,2779.0,3782.0,3047.0,3535.7734,164.12897,3140.0,4558.0,3518.0,3436.822,181.1432,2943.0,4606.0,3420.0,3965.5518,171.34961,3474.0,5025.0,3949.0,1420.6648,9.857689,1398.0,1452.0,1420.0,3143.9866,273.26,2781.0,4644.0,3070.0,2027.7574,202.72562,1754.0,3153.0,1973.0,Cocoa,1
ID_hzqxAD_Feb,Feb,2489.3298,25.059124,2449.0,2548.0,2482.0,2230.317,46.574753,2137.0,2406.0,2217.0,2125.093,70.59749,1954.0,2442.0,2117.0,2008.5883,161.79097,1778.0,2712.0,1945.0,2242.081,156.53178,1884.0,2682.0,2221.0,3097.0703,255.06273,2278.0,3541.0,3172.0,3575.1157,345.1467,2481.0,4190.0,3653.0,3438.8442,356.58353,2327.0,4239.0,3527.0,3994.2534,420.3192,2621.0,4670.0,4101.0,1387.4257,40.665966,1252.0,1438.0,1401.0,3089.535,486.30417,1997.0,4188.0,3034.0,2030.9692,327.93896,1448.0,2910.0,1940.0,Cocoa,1
ID_cDs5hR_Feb,Feb,2461.4429,26.433481,2416.0,2609.0,2457.0,2187.9658,32.92329,2110.0,2362.0,2188.0,2082.236,60.6982,1930.0,2325.0,2098.0,1881.1146,88.04021,1724.0,2371.0,1866.0,2129.3987,127.11098,1833.0,2425.0,2169.0,3058.5566,321.48813,2298.0,3412.0,3185.0,3518.0361,427.64993,2529.0,4005.0,3681.0,3392.2114,424.21533,2380.0,4342.0,3550.0,3912.439,532.34784,2674.0,4472.0,4128.0,1379.7659,56.485363,1243.0,1441.0,1406.0,2800.3083,405.35928,1909.0,3582.0,2933.0,1832.8278,211.04488,1423.0,2434.0,1859.0,Cocoa,1
ID_jaRGZN_Feb,Feb,2560.4722,89.116684,2464.0,2845.0,2531.0,2315.2537,129.29402,2173.0,2934.0,2270.0,2231.3738,142.14078,2040.0,2884.0,2181.0,2132.7932,223.2773,1837.0,2905.0,2070.0,2388.8677,186.76654,2133.0,3064.0,2336.0,3325.707,174.77309,2882.0,3900.0,3309.0,3855.8054,228.21007,3208.0,4743.0,3828.0,3706.0393,216.10123,3031.0,4548.0,3687.0,4317.1543,236.21808,3616.0,5237.0,4293.0,1429.9415,27.999321,1381.0,1518.0,1423.0,3361.5771,377.72165,2745.0,4441.0,3272.0,2174.8865,289.46545,1735.0,3078.0,2109.0,Cocoa,1
ID_zWWJwz_Feb,Feb,2557.584,78.61034,2478.0,3111.0,2532.0,2322.891,112.978355,2182.0,2933.0,2288.0,2230.7266,138.5948,2034.0,2928.0,2185.0,2215.089,251.37389,1883.0,3035.0,2138.0,2386.8,236.54877,2004.0,3111.0,2314.0,3025.2876,304.12207,2284.0,3823.0,3073.0,3415.2563,385.58017,2470.0,4284.0,3494.0,3287.3591,389.82816,2333.0,4153.0,3368.0,3788.6548,472.16397,2611.0,4730.0,3898.0,1366.0007,52.67741,1252.0,1555.0,1372.0,3298.1765,609.5181,2182.0,4650.0,3241.0,2265.6995,422.80695,1568.0,3199.0,2189.0,Cocoa,1
ID_x41v41_Feb,Feb,2457.843,37.51439,2425.0,2633.0,2448.0,2208.9036,74.28894,2107.0,2653.0,2189.0,2124.614,108.24388,1959.0,2836.0,2099.0,2045.7963,205.01094,1753.0,3245.0,1990.0,2286.043,167.92049,2018.0,3211.0,2246.0,3062.335,144.16559,2515.0,3706.0,3051.0,3507.0835,172.30417,2687.0,4213.0,3499.0,3410.2844,195.72002,2601.0,4657.0,3404.0,3940.174,181.34418,2982.0,4669.0,3941.0,1409.3668,9.615525,1382.0,1431.0,1411.0,3362.8757,344.90994,2686.0,4903.0,3303.0,2202.3386,300.84537,1747.0,3570.0,2134.0,Cocoa,1
ID_FwaTX4_Feb,Feb,2543.703,107.04732,2459.0,3140.0,2506.0,2303.1694,189.147,2155.0,3272.0,2242.0,2175.043,215.19722,1971.0,3226.0,2126.0,2058.2356,272.3786,1792.0,3353.0,1964.0,2228.454,284.17773,1886.0,3451.0,2199.0,2882.8877,415.43774,2268.0,4109.0,2854.0,3247.995,515.2469,2496.0,4553.0,3203.0,3123.8877,526.6513,2368.0,4378.0,3087.0,3564.4849,625.2718,2663.0,4990.0,3509.0,1348.1685,74.6848,1243.0,1552.0,1346.0,2796.4255,606.1693,1936.0,4380.0,2767.0,1901.4221,353.9978,1445.0,3089.0,1847.0,Cocoa,1
ID_NCR21u_Feb,Feb,2455.7336,35.86106,2425.0,2633.0,2447.0,2206.5767,74.09902,2107.0,2653.0,2185.0,2118.2979,106.6669,1959.0,2836.0,2091.0,2038.7897,205.89836,1753.0,3245.0,1980.0,2274.2039,166.47963,2018.0,3211.0,2230.0,3047.4355,145.74869,2515.0,3706.0,3036.0,3491.5574,177.78574,2687.0,4213.0,3491.0,3395.8474,200.99428,2601.0,4657.0,3391.0,3920.7212,187.62285,2982.0,4669.0,3922.0,1407.4221,10.5007,1378.0,1431.0,1410.0,3326.7324,345.1782,2686.0,4903.0,3280.0,2179.2314,300.72842,1747.0,3570.0,2116.0,Cocoa,1
